wallet,transaction_count,total_eth_transacted,unique_contracts_interacted,avg_tx_value_eth,contract_interaction_density,log_eth_transacted
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,100,52.25464129,81,0.5225464129,0.81,3.9750849611668766
0x06b51c6882b27cb05e712185531c1f74996dd988,5,0.02430185,4,0.00486037,0.8,0.02401125857021162
0x0795732aacc448030ef374374eaae57d2965c16c,4,0.0186,3,0.00465,0.75,0.01842913546836719
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,80,201.84349488453276,55,2.5230436860566594,0.6875,5.312434720538459
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,5,0.0260046909999999,4,0.00520093819999998,0.8,0.025672318862881897
0x104ae61d8d487ad689969a17807ddc338b445416,6,0.9608856676,4,0.16014761126666668,0.6666666666666666,0.6733962424038591
0x111c7208a7e2af345d36b6d4aace8740d61a3078,6,0.029013191,4,0.0048355318333333334,0.6666666666666666,0.02860027601172928
0x124853fecb522c57d9bd5c21231058696ca6d596,7,0.034272474,5,0.0048960677142857135,0.7142857142857143,0.03369825587915784
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,4,0.016,3,0.004,0.75,0.01587334915629015
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,100,8.0,7,0.08,0.07,2.1972245773362196
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,6,0.0038662,3,0.0006443666666666667,0.5,0.0038587454564398957
0x19df3e87f73c4aaf4809295561465b993e102668,31,0.1413276436288313,18,0.0045589562460913325,0.5806451612903226,0.1321921844606698
0x1ab2ccad4fc97c9968ea87d4435326715be32872,5,0.028135932,4,0.0056271863999999994,0.8,0.027747387863398535
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,100,1.458514391924787,24,0.014585143919247869,0.24,0.8995572617981313
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,3,0.0291310133,3,0.009710337766666667,1.0,0.028714769738536712
0x22d7510588d90ed5a87e0f838391aaafa707c34b,76,0.6188685182,17,0.008143006818421053,0.2236842105263158,0.48172745966200725
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,22,0.4353785830913217,6,0.01978993559506008,0.2727272727272727,0.36142863538651415
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,7,0.0478233475999999,5,0.006831906799999986,0.7142857142857143,0.04671501024039072
0x27f72a000d8e9f324583f3a3491ea66998275b28,5,0.031233925,4,0.0062467849999999995,0.8,0.030756070666473564
0x2844658bf341db96aa247259824f42025e3bcec2,4,0.016,3,0.004,0.75,0.01587334915629015
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,5,0.0333417186999999,4,0.00666834373999998,0.8,0.03279793766103313
0x330513970efd9e8dd606275fb4c50378989b3204,100,72.40048822324046,29,0.7240048822324046,0.29,4.295930587141134
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,100,169.50443914831965,33,1.6950443914831965,0.33,5.138761332445165
0x3867d222ba91236ad4d12c31056626f9e798629c,4,0.016,3,0.004,0.75,0.01587334915629015
0x3a44be4581137019f83021eeee72b7dc57756069,4,0.0186,3,0.00465,0.75,0.01842913546836719
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,5,0.0186,3,0.0037199999999999998,0.6,0.01842913546836719
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,100,9.523332643560073,27,0.09523332643560073,0.27,2.353594948354757
0x4814be124d7fe3b240eb46061f7ddfab468fe122,100,9.089578290039018,33,0.09089578290039019,0.33,2.3115030386495734
0x4839e666e2baf12a51bf004392b35972eeddeabf,20,1.936281355,7,0.09681406775,0.35,1.0771439355206025
0x4c4d05fe859279c91b074429b5fc451182cec745,4,0.0201884992,3,0.0050471248,0.75,0.019987413359438367
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,100,10.391904011186057,45,0.10391904011186057,0.45,2.432902928649751
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,5,0.0236557599999999,4,0.00473115199999998,0.8,0.023380298223884214
0x4e61251336c32e4fe6bfd5fab014846599321389,5,0.022191884,4,0.004438376799999999,0.8,0.021949227582701868
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,6,0.0186,4,0.0031,0.6666666666666666,0.01842913546836719
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,43,0.3948900016833804,17,0.009183488411241404,0.3953488372093023,0.3328155603244885
0x54e19653be9d4143b08994906be0e27555e8834d,7,0.0,2,0.0,0.2857142857142857,0.0
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,5,0.02886863,4,0.005773726,0.8,0.02845978106322195
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,8,0.0301149208,6,0.0037643651,0.75,0.029670369609907113
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,11,0.3794616391171204,5,0.034496512647010945,0.45454545454545453,0.3216933064720463
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,5,0.0284554533508541,4,0.00569109067017082,0.8,0.028058116922851904
0x58d68d4bcf9725e40353379cec92b90332561683,55,1.1659144403706971,22,0.021198444370376313,0.4,0.7728426465847075
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,4,0.0186,3,0.00465,0.75,0.01842913546836719
0x612a3500559be7be7703de6dc397afb541a16f7f,100,17.359433828068607,50,0.17359433828068607,0.5,2.9101435474657014
0x623af911f493747c216ad389c7805a37019c662d,70,1097.53736454,50,15.679105207714287,0.7142857142857143,7.001734905392761
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,15,1.925713329699542,10,0.12838088864663613,0.6666666666666666,1.0735383243530885
0x6d69ca3711e504658977367e13c300ab198379f1,5,0.030379562,4,0.006075912399999999,0.8,0.02992724115570764
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,16,0.074192321,6,0.0046370200625,0.375,0.07156904988798651
0x70c1864282599a762c674dd9d567b37e13bce755,5,0.0313858,4,0.0062771599999999995,0.8,0.03090333484554998
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,100,5.664545321825448,46,0.056645453218254475,0.46,1.896801732522787
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,4,0.0186,3,0.00465,0.75,0.01842913546836719
0x767055590c73b7d2aaa6219da13807c493f91a20,4,0.0186,3,0.00465,0.75,0.01842913546836719
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,9,10.0,4,1.1111111111111112,0.4444444444444444,2.3978952727983707
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,11,0.0403502721999999,7,0.0036682065636363544,0.6363636363636364,0.03955745664113581
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,7,0.029606237095573,4,0.004229462442224714,0.5714285714285714,0.029176435066564612
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,4,0.0309126855,3,0.007728171375,0.75,0.030444512311735016
0x7de76a449cf60ea3e111ff18b28e516d89532152,4,0.0186,3,0.00465,0.75,0.01842913546836719
