wallet,transaction_count,total_eth_transacted,unique_contracts_interacted
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,100,52.25464129,81
0x06b51c6882b27cb05e712185531c1f74996dd988,5,0.02430185,4
0x0795732aacc448030ef374374eaae57d2965c16c,4,0.0186,3
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,80,201.84349488453273,55
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,5,0.026004690999999996,4
0x104ae61d8d487ad689969a17807ddc338b445416,6,0.9608856675999999,4
0x111c7208a7e2af345d36b6d4aace8740d61a3078,6,0.029013191,4
0x124853fecb522c57d9bd5c21231058696ca6d596,7,0.034272474,5
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,4,0.016,3
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,100,8.0,7
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,6,0.0038662,3
0x19df3e87f73c4aaf4809295561465b993e102668,31,0.14132764362883132,18
0x1ab2ccad4fc97c9968ea87d4435326715be32872,5,0.028135932,4
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,100,1.458514391924787,24
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,3,0.0291310133,3
0x22d7510588d90ed5a87e0f838391aaafa707c34b,76,0.6188685182,17
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,22,0.43537858309132177,6
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,7,0.047823347599999996,5
0x27f72a000d8e9f324583f3a3491ea66998275b28,5,0.031233925,4
0x2844658bf341db96aa247259824f42025e3bcec2,4,0.016,3
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,5,0.033341718699999995,4
0x330513970efd9e8dd606275fb4c50378989b3204,100,72.40048822324046,29
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,100,169.50443914831965,33
0x3867d222ba91236ad4d12c31056626f9e798629c,4,0.016,3
0x3a44be4581137019f83021eeee72b7dc57756069,4,0.0186,3
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,5,0.0186,3
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,100,9.523332643560073,27
